Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,36,36,36.4,10.4,22.4,.467,3.4,10.2,.334,7.0,12.2,.578,.543,9.1,11.5,.790,0.9,6.9,7.8,8.7,1.6,0.5,4.3,2.7,33.4,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,44,44,33.4,11.1,19.9,.557,1.9,4.8,.396,9.2,15.1,.608,.605,8.3,9.2,.894,0.5,3.9,4.4,6.2,1.3,0.8,2.0,2.0,32.3,,gilgesh01
3,Tyrese Maxey,25,PHI,PG,42,42,39.5,10.5,22.3,.472,3.5,8.9,.392,7.0,13.4,.526,.551,5.3,6.0,.882,0.3,4.0,4.3,6.8,2.1,1.0,2.5,2.1,29.9,,maxeyty01
4,Jaylen Brown,29,BOS,SF,42,42,34.5,10.9,22.6,.484,2.2,6.0,.362,8.7,16.5,.528,.532,5.8,7.4,.781,1.3,5.5,6.8,4.9,1.0,0.4,3.7,2.9,29.8,,brownja02
5,Anthony Edwards,24,MIN,SG,36,36,35.2,10.2,20.7,.495,3.5,8.6,.406,6.8,12.1,.557,.579,5.7,7.2,.795,0.6,4.4,5.1,3.7,1.3,0.8,2.6,2.0,29.6,,edwaran01
6,Nikola Jokić,30,DEN,C,32,32,34.6,10.6,17.5,.605,2.1,4.8,.435,8.5,12.7,.670,.665,6.3,7.4,.853,3.0,9.1,12.2,11.0,1.4,0.8,3.5,2.8,29.6,,jokicni01
7,Donovan Mitchell,29,CLE,SG,43,43,34.2,10.1,21.0,.482,3.8,9.9,.380,6.3,11.1,.574,.572,5.1,6.1,.840,0.9,3.9,4.8,5.8,1.5,0.2,3.1,2.5,29.1,,mitchdo01
8,Kawhi Leonard,34,LAC,SF,31,31,33.5,9.7,19.5,.497,2.9,7.3,.400,6.8,12.3,.554,.571,5.8,6.1,.942,0.9,5.3,6.2,3.5,2.2,0.6,2.1,1.4,28.1,,leonaka01
9,Giannis Antetokounmpo,31,MIL,PF,30,30,29.2,10.5,16.2,.645,0.5,1.3,.395,10.0,15.0,.666,.660,6.5,9.9,.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,,antetgi01
10,Jalen Brunson,29,NYK,PG,40,39,34.5,10.0,21.0,.477,3.0,7.8,.384,7.0,13.2,.532,.548,5.0,5.9,.847,0.5,2.7,3.2,6.1,0.7,0.1,2.3,2.5,28.0,,brunsja01
11,Lauri Markkanen,28,UTA,PF,33,33,36.0,9.5,19.7,.483,2.9,8.0,.365,6.6,11.7,.563,.557,6.0,6.8,.884,2.0,5.2,7.2,2.2,1.0,0.5,1.6,2.0,27.9,,markkla01
